n,index,name,type,count,count_measure,source_id,price_current,price_current_currency,price_old,price_old_currency,url_detail,source,load_date,category,webfilter
44,index,Фляга Cinelli Elite Waterbottle House Ind. Tubography 550мл / Черный,Фляга ,10,шт,18196,1100,₽,1100,₽,/product/flyaga_cinelli_elite_waterbottle_house_ind_tubography_550ml_chernyy/,https://velosport.ru/,2023-11-02 05:15:04.264822,flyagi,new
45,index,Фляга Elite Syssa Race нержавеющая сталь 750мл / Черный,Фляга ,68,шт,17051,1620,₽,1620,₽,/product/flyaga_elite_syssa_race_nerzhaveyushchaya_stal_750ml_chernyy/,https://velosport.ru/,2023-11-02 05:15:03.307465,flyagi,popular
46,index,Фляга Elite Syssa Race нержавеющая сталь 750мл / Черный,Фляга ,68,шт,17051,1620,₽,1620,₽,/product/flyaga_elite_syssa_race_nerzhaveyushchaya_stal_750ml_chernyy/,https://velosport.ru/,2023-11-02 05:15:03.715594,flyagi,discount
47,index,Фляга Elite Syssa Race нержавеющая сталь 750мл / Черный,Фляга ,68,шт,17051,1620,₽,1620,₽,/product/flyaga_elite_syssa_race_nerzhaveyushchaya_stal_750ml_chernyy/,https://velosport.ru/,2023-11-02 05:15:04.279556,flyagi,new
48,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Зеленый,Фляга-термос ,6,шт,17053,4160,₽,3750,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_zelenyy/,https://velosport.ru/,2023-11-02 05:15:03.291863,flyagi,popular
49,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Зеленый,Фляга-термос ,6,шт,17053,4160,₽,3750,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_zelenyy/,https://velosport.ru/,2023-11-02 05:15:03.703166,flyagi,discount
50,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Зеленый,Фляга-термос ,6,шт,17053,4160,₽,3750,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_zelenyy/,https://velosport.ru/,2023-11-02 05:15:04.271530,flyagi,new
51,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Черный,Фляга-термос ,10,шт,17052,4760,₽,4760,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_chernyy/,https://velosport.ru/,2023-11-02 05:15:03.295968,flyagi,popular
52,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Черный,Фляга-термос ,10,шт,17052,4760,₽,4760,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_chernyy/,https://velosport.ru/,2023-11-02 05:15:03.708408,flyagi,discount
53,index,Фляга-термос Elite MIA Termo нержавеющая сталь 550мл (12/24ч) / Черный,Фляга-термос ,10,шт,17052,4760,₽,4760,₽,/product/flyaga_termos_elite_mia_termo_nerzhaveyushchaya_stal_550ml_12_24ch_chernyy/,https://velosport.ru/,2023-11-02 05:15:04.276167,flyagi,new
0,index,Беговая поясная термо-сумка Powerup Ultra Due / Фиолетовый,Беговая поясная термо-сумка ,6,шт,16959,1600,₽,1600,₽,/product/begovaya_poyasnaya_termo_sumka_powerup_ultra_due_fioletovyy/,https://velosport.ru/,2023-11-03 05:15:02.613686,ryukzaki_i_sumki,popular
1,index,Беговая поясная термо-сумка Powerup Ultra Due / Фиолетовый,Беговая поясная термо-сумка ,6,шт,16959,1600,₽,1600,₽,/product/begovaya_poyasnaya_termo_sumka_powerup_ultra_due_fioletovyy/,https://velosport.ru/,2023-11-03 05:15:03.851608,ryukzaki_i_sumki,new
2,index,Беговая поясная термо-сумка Powerup Ultra Due / Фиолетовый,Беговая поясная термо-сумка ,6,шт,16959,1600,₽,1600,₽,/product/begovaya_poyasnaya_termo_sumka_powerup_ultra_due_fioletovyy/,https://velosport.ru/,2023-11-03 05:15:04.849852,ryukzaki_i_sumki,discount
3,index,"Велосипедный шлем LAS VIRTUS L-XL, красный",Велосипедный шлем ,4,шт,13319,14264,₽,14264,₽,/product/velosipednyy_shlem_las_virtus_l_xl_krasnyy/,https://velosport.ru/,2023-11-03 05:14:52.391025,shlemy,popular
4,index,"Велосипедный шлем LAS VIRTUS L-XL, красный",Велосипедный шлем ,4,шт,13319,14264,₽,14264,₽,/product/velosipednyy_shlem_las_virtus_l_xl_krasnyy/,https://velosport.ru/,2023-11-03 05:15:04.982852,shlemy,discount
